google/ExoPlayer,,,,,,
number,합병,해결안제시,SBR유무,comment,,
2007,,,x,,1975,1
2034,,,x,,1976,1
2047,,,x,exception,1986,1
2048,,,x,,1991,1
2059,,,o,exception handling,2007,1
2077,,,x,,2034,1
2078,,,x,,2047,1
2081,,,o,exception handling,2048,1
2093,,,x,,2059,1
2108,,,o,exception handling,2063,1
2111,,,x,,2077,1
2120,,,x,,2078,1
2144,,,x,,2081,1
2145,,,x,,2093,1
2149,,,o,exception handling,2108,1
2152,,,x,,2111,1
2156,,,x,,2120,1
2157,,,x,,2144,1
2162,,,x,,2145,1
2167,,,x,,2149,1
2172,,,x,,2152,1
2186,,,o,exception handling,2156,1
2204,,,x,,2157,1
2208,,,x,,2162,1
2224,,,x,,2167,1
2228,,,x,,2172,1
2232,,,x,,2186,1
2249,,,o,exception handling,2204,1
2252,,,x,,2208,1
2264,,,x,,2224,1
2268,,,x,,2228,1
2269,,,x,,2232,1
2272,,,x,,2249,1
2278,,,x,,2252,1
2290,,,x,,2264,1
2292,,,x,,2268,1
2301,,,x,,2269,1
2309,,,o,exception handling,2272,1
2311,,,x,,2278,1
2319,,,o,memory,2290,1
2330,,,x,,2292,1
2335,,,x,,2301,1
2339,,,x,,2309,1
2344,,,x,,2311,1
2352,,,x,,2319,1
2353,,,x,,2330,1
2355,,,o,stream exception,2335,1
2360,,,x,,2339,1
2369,,,x,,2344,1
2395,,,x,,2352,
2396,,,x,,2353,1
2408,,,x,,2355,1
2424,,,x,,2360,1
2432,,,x,,2369,1
2433,,,x,,2396,1
2439,,,x,,2408,1
2447,,,x,,2424,1
2486,,,o,exception handling,2432,1
2495,,,x,,2433,1
2497,,,o,stream exception,2439,1
2514,,,x,,2447,1
2550,,,x,,2486,1
2551,,,x,,2495,1
2552,,,x,,2497,1
2575,,,x,,2514,1
2582,,,x,,2550,1
2592,,,x,,2551,1
2595,,,x,,2552,1
2596,,,o,exception handling,2575,1
2604,,,x,,2582,1
2607,,,x,,2592,1
2618,,,x,,2595,1
2632,,,x,,2596,1
2634,,,x,issue x,2604,1
2646,,,x,,2607,1
2655,,,x,,2618,1
2663,,,x,,2622,1
2675,,,x,,2632,1
2680,,,o,exception hadnling,2634,1
2702,,,x,,2646,1
2718,,,x,,2655,1
2736,,,x,,2663,1
2743,,,x,,2675,1
2755,,,x,,2680,1
2773,,,x,,2702,1
2774,,,x,,2718,1
2776,,,x,,2736,1
2782,,,x,,2743,1
2795,,,x,,2755,1
2824,,,x,,2773,1
2838,,,x,,2774,1
2847,,,x,,2776,1
2871,,,x,,2782,1
2876,,,o,exception handling,2795,1
2889,,,x,,2824,1
2891,,,x,,2838,1
2895,,,x,,2847,1
2900,,,x,,2871,1
2902,,,x,,2876,1
2903,,,x,,2889,1
2940,,,x,,2891,1
2951,,,o,exception handling,2895,1
2957,,,x,,2900,1
2975,,,x,,2902,1
2985,,,x,,2903,1
2988,,,x,,2940,1
3010,,,x,,2951,1
3017,,,x,,2957,1
3033,,,x,,2962,1
3038,,,x,,2975,1
3079,,,x,,2985,1
3080,,,x,,2988,1
3093,,,x,,3010,1
3116,,,x,,3017,1
3131,,,x,,3033,1
3135,,,x,,3038,1
3139,,,x,,3079,1
3160,,,x,,3080,1
3180,,,x,,3093,1
3188,,,x,,3116,1
3191,,,x,,3131,1
3215,,,x,,3135,1
3216,,,x,,3139,1
3228,,,o,exception handling,3156,1
3230,,,x,,3160,1
3250,,,x,,3180,1
3258,,,x,,3188,1
3259,,,x,,3191,1
3260,,,x,,3215,1
3274,,,x,,3216,1
3303,,,x,,3228,1
3334,,,x,,3230,1
3351,,,o,exception handling,3250,1
3355,,,x,,3258,1
3362,,3407,x,,3259,1
3369,,,x,,3260,1
3391,,,x,,3274,1
3396,,,o,exception handling,3303,1
3407,,,x,throw,3334,1
3426,,,x,,3339,1
3430,,,x,,3351,1
3452,,,x,,3355,1
3494,,,x,,3362,1
3504,,,x,,3369,1
3513,,,x,,3391,1
3514,,,x,,3396,1
3520,,,x,,3407,1
3527,,,x,,3426,1
3534,,,x,,3430,1
3552,,,o,exception handling,3452,1
3554,,,x,,3477,1
3558,,,x,,3494,1
3574,,,x,,3504,1
3584,,,x,,3513,1
3587,,,x,,3514,1
3591,,,x,,3520,1
3592,,,x,,3525,1
3594,,,x,,3527,1
3622,,,o,exception handling,3534,1
3630,,,x,,3552,1
3632,,,x,,3554,1
3643,,,x,,3558,1
3645,,,o,exception,3574,1
3648,,,x,,3584,1
3653,,,x,,3587,1
3683,,,x,,3591,1
3703,,,x,,3592,1
3708,,,x,,3594,1
3715,,,x,,3597,1
3716,,,x,,3622,1
3718,,,x,,3630,1
3723,,,x,,3632,1
3726,,,o,connection,3643,1
3729,,,x,,3645,1
3747,,,x,,3648,1
3754,,,x,,3653,1
3762,,,x,,3683,1
3779,,,x,,3699,1
3780,,,o,term,3703,1
3782,,,x,,3708,1
3786,,,x,,3715,1
3796,,,x,,3716,1
3801,,,x,,3718,1
3807,,,x,,3723,1
3841,,,x,,3726,1
3845,,,x,,3729,1
3865,,,x,,3747,1
3879,,,o,exception handling,3754,1
3898,,,x,,3762,1
3906,,,x,,3779,1
3966,,,x,,3780,1
3986,,,x,,3782,1
4001,,,x,,3786,1
4003,,,x,,3796,1
4006,,,x,,3801,1
4010,,,x,,3807,1
4059,,,x,,3841,1
4075,,,o,term,3845,1
4080,,,x,,3865,
4084,,,x,device,3879,1
4096,,,x,no issue,3898,1
4104,,,x,,3906,1
4108,,,x,,3966,1
4142,,,x,,3986,1
4165,,,x,,4001,1
4187,,,x,,4003,1
42228,,,x,,4006,
4234,,,x,,4010,1
4238,,,x,,4059,1
4239,,,x,,4075,1
4241,,,x,,4084,1
4262,,,o,exception handling,4096,1
4263,,,x,,4104,1
4276,,,x,,4108,1
4292,,,x,,4112,1
4297,,,x,,4142,1
4321,,,x,,4146,
4396,,,x,,4165,1
4397,,,x,,4187,
4403,,,x,,4205,1
4406,,,x,,4228,
4419,,,x,,4234,
4477,,,x,,4238,
4491,,,x,,4239,
,,,,,4241,
,,,43,,4262,
,,,,,4263,
,,,,,4276,
,,,,,4292,
,,,,,4297,
,,,,,4337,
,,,,,4396,
,,,,,4403,
